"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","16,001,813","1,111,679","2,074,383","1,418,130","1,897,917","381,285"
"        In labor force","10,107,472","648,994","1,314,978","954,970","1,212,824","222,709"
"            Civilian labor force","10,085,377","648,915","1,314,286","954,322","1,212,574","222,528"
"                Employed","9,354,155","571,566","1,201,841","891,619","1,119,419","208,838"
"                Unemployed","731,222","77,349","112,445","62,703","93,155","13,690"
"            Armed Forces","22,095","79","692","648","250","181"
"        Not in labor force","5,894,341","462,685","759,405","463,160","685,093","158,576"
"    Civilian labor force","10,085,377","648,915","1,314,286","954,322","1,212,574","222,528"
"        Percent Unemployed","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,336,032","600,996","1,110,635","755,793","989,303","199,074"
"        In labor force","4,884,908","327,015","654,562","479,558","565,241","106,143"
"            Civilian labor force","4,882,630","327,015","654,383","479,558","565,241","106,143"
"                Employed","4,544,016","288,140","599,986","448,746","522,003","100,523"
"    Own children under 6 years","1,358,592","121,404","225,492","96,817","167,371","33,383"
"        All parents in family in labor force","880,791","84,591","136,718","61,809","102,403","19,914"
"    Own children 6 to 17 years","2,665,194","225,490","354,309","130,838","282,856","69,146"
"        All parents in family in labor force","1,833,238","149,733","227,581","85,582","186,326","42,183"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,169,233","558,828","1,175,571","878,171","1,090,495","205,828"
"        Car, truck, or van -- drove alone","4,869,602","127,647","217,597","51,605","347,237","118,277"
"        Car, truck, or van -- carpooled","599,205","21,027","52,020","14,936","69,388","15,209"
"        Public transportation (excluding taxicab)","2,593,733","338,819","731,532","530,244","570,220","60,108"
"        Walked","576,752","41,274","99,520","180,711","60,804","5,270"
"        Other means","168,773","10,490","29,225","46,352","15,989","1,606"
"        Worked at home","361,168","19,571","45,677","54,323","26,857","5,358"
"    Mean travel time to work (minutes)","32.6","43.1","42.2","31.3","42.8","42.7"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,354,155","571,566","1,201,841","891,619","1,119,419","208,838"
"        Management, business, science, and arts occupations","3,701,349","141,749","472,578","531,786","364,955","83,346"
"        Service occupations","1,908,738","189,062","286,306","123,500","280,479","41,868"
"        Sales and office occupations","2,173,501","130,752","264,382","180,909","260,907","48,477"
"        Natural resources, construction, and maintenance occupations","676,738","42,651","75,198","23,097","87,703","18,195"
"        Production, transportation, and material moving occupations","893,829","67,352","103,377","32,327","125,375","16,952"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,354,155","571,566","1,201,841","891,619","1,119,419","208,838"
"        Agriculture, forestry, fishing and hunting, and mining","57,066","133","1,916","543","1,007","63"
"        Construction","524,696","31,997","64,095","18,890","73,232","15,245"
"        Manufacturing","588,566","18,287","43,340","26,311","43,342","6,628"
"        Wholesale trade","226,317","10,087","29,105","18,260","26,869","4,270"
"        Retail trade","1,010,157","68,642","120,125","67,573","115,974","23,378"
"        Transportation and warehousing, and utilities","482,703","41,126","74,198","21,293","91,454","11,558"
"        Information","280,583","10,838","49,681","59,240","30,905","5,538"
"        Finance and insurance, and real estate and rental and leasing","739,236","34,539","87,599","150,023","89,601","17,272"
"        Professional, scientific, and management, and administrative and waste management services","1,077,330","48,951","154,415","181,343","121,665","20,423"
"        Educational services, and health care and social assistance","2,572,061","178,922","349,343","191,606","267,010","65,894"
"        Arts, entertainment, and recreation, and accommodation and food services","908,775","74,386","126,450","93,256","136,655","16,211"
"        Other services, except public administration","467,177","33,086","59,545","37,637","79,009","9,220"
"        Public administration","419,488","20,572","42,029","25,644","42,696","13,138"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,354,155","571,566","1,201,841","891,619","1,119,419","208,838"
"        Private wage and salary workers","7,377,738","458,720","959,842","750,172","899,976","155,843"
"        Government workers","1,417,973","81,167","163,372","74,177","144,553","42,291"
"        Self-employed in own not incorporated business workers","543,936","30,432","77,093","65,862","73,454","10,531"
"        Unpaid family workers","14,508","1,247","1,534","1,408","1,436","173"
"INCOME AND BENEFITS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,282,398","492,481","942,402","762,228","785,985","164,971"
"        Less than $10,000","592,049","80,863","110,797","78,800","59,255","13,820"
"        $10,000 to $14,999","377,078","45,953","60,355","37,040","36,490","7,066"
"        $15,000 to $24,999","710,340","71,770","108,270","58,675","81,767","14,161"
"        $25,000 to $34,999","640,943","52,165","85,491","48,381","67,054","12,372"
"        $35,000 to $49,999","860,164","68,077","118,042","61,721","97,569","15,187"
"        $50,000 to $74,999","1,190,002","74,277","144,922","92,138","145,797","23,594"
"        $75,000 to $99,999","864,451","42,291","103,360","78,392","100,440","23,451"
