"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","16,048,423","1,123,930","2,083,392","1,426,471","1,906,461","383,069"
"        In labor force","10,125,624","678,285","1,331,700","955,916","1,228,957","221,694"
"            Civilian labor force","10,103,433","678,136","1,331,235","955,766","1,227,785","221,408"
"                Employed","9,503,468","610,064","1,236,979","903,214","1,153,909","210,209"
"                Unemployed","599,965","68,072","94,256","52,552","73,876","11,199"
"            Armed Forces","22,191","149","465","150","1,172","286"
"        Not in labor force","5,922,799","445,645","751,692","470,555","677,504","161,375"
"    Civilian labor force","10,103,433","678,136","1,331,235","955,766","1,227,785","221,408"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,352,420","606,859","1,115,713","756,835","992,232","200,097"
"        In labor force","4,877,678","339,274","660,633","472,438","575,350","103,008"
"            Civilian labor force","4,875,267","339,274","660,352","472,363","575,187","102,919"
"                Employed","4,598,741","305,103","615,615","446,229","537,536","98,160"
"    Own children of the householder under 6 years","1,327,999","120,334","218,681","90,984","164,410","31,601"
"        All parents in family in labor force","860,302","75,564","134,391","60,162","102,708","16,942"
"    Own children of the householder 6 to 17 years","2,649,730","224,683","360,720","136,934","292,828","69,875"
"        All parents in family in labor force","1,848,889","155,901","233,690","89,254","202,289","39,712"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,291,557","591,367","1,206,979","883,213","1,117,422","208,190"
"        Car, truck, or van -- drove alone","4,888,039","137,271","216,534","53,227","350,231","118,140"
"        Car, truck, or van -- carpooled","606,605","24,999","50,072","17,111","75,152","14,059"
"        Public transportation (excluding taxicab)","2,636,851","355,372","746,219","523,058","581,924","63,003"
"        Walked","577,983","43,217","102,027","178,459","66,308","5,278"
"        Other means","181,866","11,179","34,803","49,077","14,528","1,721"
"        Worked at home","400,213","19,329","57,324","62,281","29,279","5,989"
"    Mean travel time to work (minutes)","33.4","44.7","42.8","32.5","44.3","44.3"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,503,468","610,064","1,236,979","903,214","1,153,909","210,209"
"        Management, business, science, and arts occupations","3,829,005","151,808","508,631","542,296","389,963","84,674"
"        Service occupations","1,916,078","210,654","281,704","127,576","280,103","40,031"
"        Sales and office occupations","2,193,263","134,728","266,596","182,235","268,137","48,937"
"        Natural resources, construction, and maintenance occupations","686,055","43,432","75,022","17,858","94,442","19,420"
"        Production, transportation, and material moving occupations","879,067","69,442","105,026","33,249","121,264","17,147"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,503,468","610,064","1,236,979","903,214","1,153,909","210,209"
"        Agriculture, forestry, fishing and hunting, and mining","61,159","524","1,652","274","1,721","180"
"        Construction","532,751","30,204","61,029","15,391","83,050","16,212"
"        Manufacturing","571,646","20,280","41,850","27,674","43,288","4,759"
"        Wholesale trade","228,960","8,238","27,863","17,720","26,531","3,460"
"        Retail trade","1,014,960","67,286","121,815","66,238","118,673","22,421"
"        Transportation and warehousing, and utilities","500,780","46,466","78,661","23,154","94,830","16,183"
"        Information","273,141","9,633","55,855","53,443","31,486","4,903"
"        Finance and insurance, and real estate and rental and leasing","764,623","39,700","91,995","148,262","93,900","20,693"
"        Professional, scientific, and management, and administrative and waste management services","1,113,867","53,619","170,387","184,955","119,173","23,884"
"        Educational services, and health care and social assistance","2,588,717","198,160","343,682","201,495","279,416","57,880"
"        Arts, entertainment, and recreation, and accommodation and food services","935,384","79,041","132,316","102,509","133,973","13,023"
"        Other services, except public administration","475,263","34,091","62,928","41,071","77,468","11,422"
"        Public administration","442,217","22,822","46,946","21,028","50,400","15,189"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,503,468","610,064","1,236,979","903,214","1,153,909","210,209"
"        Private wage and salary workers","7,505,060","484,972","986,599","759,211","918,704","158,272"
"        Government workers","1,440,661","90,032","167,714","72,947","165,455","43,785"
"        Self-employed in own not incorporated business workers","544,534","34,270","80,498","69,182","68,685","8,152"
"        Unpaid family workers","13,213","790","2,168","1,874","1,065","0"
"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,209,054","498,539","941,871","748,293","761,819","164,289"
"        Less than $10,000","543,763","71,574","100,789","70,459","52,812","15,099"
"        $10,000 to $14,999","352,029","44,087","55,450","37,803","32,489","5,167"
"        $15,000 to $24,999","649,734","65,184","94,827","53,854","67,177","11,426"
"        $25,000 to $34,999","613,666","54,056","80,969","51,799","70,020","11,186"
"        $35,000 to $49,999","803,215","67,840","103,595","54,840","92,255","14,125"
"        $50,000 to $74,999","1,134,756","80,960","139,870","93,012","128,469","22,630"
"        $75,000 to $99,999","864,777","45,667","106,682","72,887","101,574","21,212"
