"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","15,895,561","1,110,356","2,037,012","1,418,947","1,851,947","384,837"
"        In labor force","10,085,219","657,498","1,301,439","967,784","1,189,245","236,961"
"            Civilian labor force","10,056,194","656,905","1,300,236","967,474","1,188,655","236,585"
"                Employed","9,611,029","597,281","1,241,187","926,498","1,133,705","227,121"
"                Unemployed","445,165","59,624","59,049","40,976","54,950","9,464"
"            Armed Forces","29,025","593","1,203","310","590","376"
"        Not in labor force","5,810,342","452,858","735,573","451,163","662,702","147,876"
"    Civilian labor force","10,056,194","656,905","1,300,236","967,474","1,188,655","236,585"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,270,431","597,959","1,092,327","753,983","965,168","200,681"
"        In labor force","4,905,010","330,390","653,032","485,064","567,511","112,371"
"            Civilian labor force","4,901,398","330,390","652,843","485,064","567,416","112,371"
"                Employed","4,693,995","298,160","625,672","465,908","542,466","108,419"
"    Own children of the householder under 6 years","1,273,622","113,372","204,075","87,808","151,407","30,507"
"        All parents in family in labor force","877,406","75,009","131,625","64,180","96,683","22,389"
"    Own children of the householder 6 to 17 years","2,533,916","208,980","349,470","136,656","271,125","69,785"
"        All parents in family in labor force","1,804,894","147,342","225,360","95,369","190,373","43,262"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,434,909","580,756","1,213,500","909,602","1,105,714","223,101"
"        Car, truck, or van -- drove alone","4,978,442","131,440","225,589","51,823","360,272","120,850"
"        Car, truck, or van -- carpooled","591,116","19,517","48,503","14,425","65,960","18,384"
"        Public transportation (excluding taxicab)","2,615,708","355,420","740,305","523,018","555,530","67,819"
"        Walked","584,422","43,856","101,814","198,275","66,308","5,654"
"        Other means","212,662","14,974","38,452","52,612","22,117","2,726"
"        Worked from home","452,559","15,549","58,837","69,449","35,527","7,668"
"        Mean travel time to work (minutes)","34.0","45.9","43.8","31.7","44.2","46.4"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,611,029","597,281","1,241,187","926,498","1,133,705","227,121"
"        Management, business, science, and arts occupations","4,139,307","147,667","560,039","573,673","408,114","96,441"
"        Service occupations","1,944,920","210,787","272,176","137,065","284,364","47,456"
"        Sales and office occupations","1,898,448","118,909","226,789","160,219","221,399","44,160"
"        Natural resources, construction, and maintenance occupations","688,562","41,362","77,603","19,275","94,440","21,061"
"        Production, transportation, and material moving occupations","939,792","78,556","104,580","36,266","125,388","18,003"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,611,029","597,281","1,241,187","926,498","1,133,705","227,121"
"        Agriculture, forestry, fishing and hunting, and mining","55,788","683","1,198","912","979","730"
"        Construction","575,689","34,177","67,597","17,324","88,227","17,678"
"        Manufacturing","551,686","19,643","33,075","28,285","36,277","6,096"
"        Wholesale trade","218,852","10,661","26,424","17,003","25,181","4,043"
"        Retail trade","926,508","62,209","110,737","59,565","104,316","21,219"
"        Transportation and warehousing, and utilities","550,264","49,421","87,297","25,994","94,162","15,655"
"        Information","275,395","10,340","62,618","54,764","30,179","4,531"
"        Finance and insurance, and real estate and rental and leasing","750,572","37,592","86,992","156,625","80,248","21,207"
"        Professional, scientific, and management, and administrative and waste management services","1,168,402","55,026","176,701","187,348","131,966","25,920"
"        Educational services, and health care and social assistance","2,760,336","196,880","363,198","218,824","293,337","69,993"
"        Arts, entertainment, and recreation, and accommodation and food services","906,635","70,714","124,375","101,902","132,294","15,314"
"        Other services, except public administration","428,369","29,701","55,758","34,039","70,332","7,979"
"        Public administration","442,533","20,234","45,217","23,913","46,207","16,756"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,611,029","597,281","1,241,187","926,498","1,133,705","227,121"
"        Private wage and salary workers","7,567,507","486,643","997,070","782,336","910,003","169,223"
"        Government workers","1,512,254","80,842","169,176","81,932","154,368","49,934"
"        Self-employed in own not incorporated business workers","513,585","28,948","72,635","60,501","67,500","7,751"
"        Unpaid family workers","17,683","848","2,306","1,729","1,834","213"
"INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,446,812","513,890","978,091","768,203","784,552","166,297"
"        Less than $10,000","497,771","75,619","77,053","70,589","44,031","6,432"
"        $10,000 to $14,999","329,325","43,661","54,891","34,008","29,207","5,540"
"        $15,000 to $24,999","575,044","60,886","84,707","47,553","51,679","9,822"
"        $25,000 to $34,999","539,159","46,775","74,789","40,180","62,055","9,351"
"        $35,000 to $49,999","758,107","63,007","97,196","49,280","82,356","17,346"
"        $50,000 to $74,999","1,130,324","86,831","142,753","81,461","127,845","24,378"
"        $75,000 to $99,999","883,154","49,307","110,588","74,802","101,044","16,794"
