"Label (Grouping)","New York!!Estimate","New York!!Percent","Bronx County, New York!!Estimate","Bronx County, New York!!Percent","Kings County, New York!!Estimate","Kings County, New York!!Percent","New York County, New York!!Estimate","New York County, New York!!Percent","Queens County, New York!!Estimate","Queens County, New York!!Percent","Richmond County, New York!!Estimate","Richmond County, New York!!Percent"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","15,908,940","15,908,940","1,111,242","1,111,242","2,046,251","2,046,251","1,418,173","1,418,173","1,862,239","1,862,239","383,886","383,886"
"        In labor force","10,032,721","63.1%","657,783","59.2%","1,302,701","63.7%","948,637","66.9%","1,192,024","64.0%","228,993","59.7%"
"            Civilian labor force","10,009,209","62.9%","657,170","59.1%","1,301,922","63.6%","948,300","66.9%","1,191,411","64.0%","228,681","59.6%"
"                Employed","9,438,639","59.3%","591,083","53.2%","1,216,982","59.5%","894,171","63.1%","1,120,366","60.2%","217,404","56.6%"
"                Unemployed","570,570","3.6%","66,087","5.9%","84,940","4.2%","54,129","3.8%","71,045","3.8%","11,277","2.9%"
"            Armed Forces","23,512","0.1%","613","0.1%","779","0.0%","337","0.0%","613","0.0%","312","0.1%"
"        Not in labor force","5,876,219","36.9%","453,459","40.8%","743,550","36.3%","469,536","33.1%","670,215","36.0%","154,893","40.3%"
"    Civilian labor force","10,009,209","10,009,209","657,170","657,170","1,301,922","1,301,922","948,300","948,300","1,191,411","1,191,411","228,681","228,681"
"        Unemployment Rate","(X)","5.7%","(X)","10.1%","(X)","6.5%","(X)","5.7%","(X)","6.0%","(X)","4.9%"
"    Females 16 years and over","8,278,421","8,278,421","599,937","599,937","1,096,879","1,096,879","753,120","753,120","969,738","969,738","200,385","200,385"
"        In labor force","4,859,346","58.7%","331,163","55.2%","653,317","59.6%","472,667","62.8%","562,188","58.0%","108,196","54.0%"
"            Civilian labor force","4,856,632","58.7%","331,092","55.2%","653,153","59.5%","472,533","62.7%","562,126","58.0%","108,159","54.0%"
"                Employed","4,593,543","55.5%","298,637","49.8%","614,070","56.0%","446,735","59.3%","528,826","54.5%","103,490","51.6%"
"    Own children of the householder under 6 years","1,300,315","1,300,315","116,090","116,090","211,466","211,466","86,667","86,667","156,795","156,795","31,347","31,347"
"        All parents in family in labor force","873,215","67.2%","74,656","64.3%","132,806","62.8%","60,185","69.4%","99,740","63.6%","19,210","61.3%"
"    Own children of the householder 6 to 17 years","2,570,072","2,570,072","216,620","216,620","350,370","350,370","135,737","135,737","277,415","277,415","69,382","69,382"
"        All parents in family in labor force","1,823,587","71.0%","150,101","69.3%","231,319","66.0%","91,893","67.7%","193,492","69.7%","43,363","62.5%"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","9,219,025","9,219,025","571,796","571,796","1,181,076","1,181,076","874,997","874,997","1,083,207","1,083,207","213,137","213,137"
"        Car, truck, or van -- drove alone","4,822,623","52.3%","138,316","24.2%","216,003","18.3%","50,608","5.8%","351,625","32.5%","118,976","55.8%"
"        Car, truck, or van -- carpooled","592,921","6.4%","25,310","4.4%","48,018","4.1%","16,899","1.9%","68,191","6.3%","16,589","7.8%"
"        Public transportation (excluding taxicab)","2,418,334","26.2%","327,933","57.4%","682,380","57.8%","480,245","54.9%","522,598","48.2%","59,684","28.0%"
"        Walked","548,517","5.9%","41,745","7.3%","101,009","8.6%","172,404","19.7%","62,606","5.8%","5,889","2.8%"
"        Other means","202,433","2.2%","13,256","2.3%","40,510","3.4%","50,240","5.7%","20,145","1.9%","2,616","1.2%"
"        Worked from home","634,197","6.9%","25,236","4.4%","93,156","7.9%","104,601","12.0%","58,042","5.4%","9,383","4.4%"
"        Mean travel time to work (minutes)","33.5","(X)","45.3","(X)","43.0","(X)","32.1","(X)","44.2","(X)","44.6","(X)"
"OCCUPATION","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,438,639","9,438,639","591,083","591,083","1,216,982","1,216,982","894,171","894,171","1,120,366","1,120,366","217,404","217,404"
"        Management, business, science, and arts occupations","4,025,303","42.6%","156,262","26.4%","541,026","44.5%","557,105","62.3%","402,438","35.9%","91,463","42.1%"
"        Service occupations","1,847,343","19.6%","199,918","33.8%","265,130","21.8%","121,145","13.5%","267,211","23.9%","43,703","20.1%"
"        Sales and office occupations","1,977,471","21.0%","123,418","20.9%","236,303","19.4%","159,979","17.9%","232,154","20.7%","44,925","20.7%"
"        Natural resources, construction, and maintenance occupations","663,047","7.0%","38,375","6.5%","69,715","5.7%","18,605","2.1%","92,319","8.2%","18,428","8.5%"
"        Production, transportation, and material moving occupations","925,475","9.8%","73,110","12.4%","104,808","8.6%","37,337","4.2%","126,244","11.3%","18,885","8.7%"
"INDUSTRY","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,438,639","9,438,639","591,083","591,083","1,216,982","1,216,982","894,171","894,171","1,120,366","1,120,366","217,404","217,404"
"        Agriculture, forestry, fishing and hunting, and mining","54,095","0.6%","721","0.1%","1,035","0.1%","576","0.1%","1,197","0.1%","201","0.1%"
"        Construction","537,024","5.7%","29,993","5.1%","59,699","4.9%","17,392","1.9%","81,311","7.3%","16,360","7.5%"
"        Manufacturing","562,150","6.0%","19,058","3.2%","37,448","3.1%","27,233","3.0%","37,586","3.4%","4,793","2.2%"
"        Wholesale trade","210,094","2.2%","9,395","1.6%","26,121","2.1%","15,831","1.8%","23,173","2.1%","3,863","1.8%"
"        Retail trade","939,055","9.9%","61,617","10.4%","110,043","9.0%","61,235","6.8%","107,728","9.6%","20,915","9.6%"
"        Transportation and warehousing, and utilities","522,604","5.5%","48,090","8.1%","81,507","6.7%","23,214","2.6%","95,413","8.5%","16,478","7.6%"
"        Information","265,898","2.8%","9,445","1.6%","57,957","4.8%","52,546","5.9%","29,265","2.6%","4,804","2.2%"
"        Finance and insurance, and real estate and rental and leasing","762,509","8.1%","37,707","6.4%","92,108","7.6%","145,903","16.3%","86,498","7.7%","20,328","9.4%"
"        Professional, scientific, and management, and administrative and waste management services","1,155,757","12.2%","55,214","9.3%","175,057","14.4%","187,480","21.0%","129,917","11.6%","24,191","11.1%"
"        Educational services, and health care and social assistance","2,673,758","28.3%","199,294","33.7%","349,032","28.7%","211,775","23.7%","284,085","25.4%","66,907","30.8%"
"        Arts, entertainment, and recreation, and accommodation and food services","854,148","9.0%","66,863","11.3%","119,003","9.8%","88,606","9.9%","124,050","11.1%","14,956","6.9%"
"        Other services, except public administration","451,662","4.8%","31,062","5.3%","60,219","4.9%","38,382","4.3%","70,620","6.3%","9,179","4.2%"
