"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","15,908,545","1,093,503","2,051,110","1,412,105","1,877,857","379,237"
"        In labor force","10,109,214","645,475","1,299,296","949,725","1,205,667","227,147"
"            Civilian labor force","10,086,197","644,781","1,298,411","949,550","1,205,352","226,903"
"                Employed","9,213,552","550,661","1,163,409","878,397","1,098,023","210,276"
"                Unemployed","872,645","94,120","135,002","71,153","107,329","16,627"
"            Armed Forces","23,017","694","885","175","315","244"
"        Not in labor force","5,799,331","448,028","751,814","462,380","672,190","152,090"
"    Civilian labor force","10,086,197","644,781","1,298,411","949,550","1,205,352","226,903"
"        Percent Unemployed","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,288,967","589,605","1,098,841","754,053","976,643","198,126"
"        In labor force","4,876,291","325,793","646,392","466,944","560,051","105,781"
"            Civilian labor force","4,873,795","325,203","646,203","466,944","559,922","105,781"
"                Employed","4,474,425","278,145","581,922","435,322","509,579","98,153"
"    Own children under 6 years","1,347,838","120,739","221,209","94,439","161,489","32,281"
"        All parents in family in labor force","863,276","78,936","131,261","56,277","96,375","20,121"
"    Own children 6 to 17 years","2,700,063","219,938","356,432","133,895","285,097","70,986"
"        All parents in family in labor force","1,859,131","151,516","232,115","84,978","185,126","42,642"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,024,559","534,679","1,139,298","859,733","1,073,003","207,427"
"        Car, truck, or van -- drove alone","4,766,202","119,769","204,503","47,648","328,000","114,692"
"        Car, truck, or van -- carpooled","622,538","26,293","53,506","14,867","75,219","17,187"
"        Public transportation (excluding taxicab)","2,521,815","315,315","708,681","513,672","560,447","63,862"
"        Walked","574,861","46,576","96,173","174,732","61,253","4,470"
"        Other means","178,810","9,833","29,276","50,704","17,887","2,050"
"        Worked at home","360,333","16,893","47,159","58,110","30,197","5,166"
"    Mean travel time to work (minutes)","32.1","42.2","41.8","30.8","42.3","43.9"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,213,552","550,661","1,163,409","878,397","1,098,023","210,276"
"        Management, business, science, and arts occupations","3,612,926","131,581","446,592","525,693","355,866","83,846"
"        Service occupations","1,886,587","184,758","284,838","122,088","270,545","42,215"
"        Sales and office occupations","2,180,234","134,898","256,073","180,928","261,563","49,673"
"        Natural resources, construction, and maintenance occupations","671,233","36,633","76,599","17,197","94,686","17,964"
"        Production, transportation, and material moving occupations","862,572","62,791","99,307","32,491","115,363","16,578"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,213,552","550,661","1,163,409","878,397","1,098,023","210,276"
"        Agriculture, forestry, fishing and hunting, and mining","58,946","280","771","1,076","2,184","141"
"        Construction","514,249","27,086","62,111","15,165","72,948","15,057"
"        Manufacturing","604,458","23,258","48,499","22,961","49,619","4,992"
"        Wholesale trade","228,397","9,381","28,979","17,902","30,419","4,018"
"        Retail trade","988,572","65,617","109,274","77,296","112,185","18,808"
"        Transportation and warehousing, and utilities","456,049","35,179","71,126","19,864","80,604","15,585"
"        Information","270,229","9,620","48,706","55,822","31,160","5,873"
"        Finance and insurance, and real estate and rental and leasing","749,611","37,667","87,862","147,111","92,524","22,425"
"        Professional, scientific, and management, and administrative and waste management services","1,081,785","43,186","148,130","171,850","129,831","24,617"
"        Educational services, and health care and social assistance","2,516,343","177,992","332,954","204,080","252,697","58,480"
"        Arts, entertainment, and recreation, and accommodation and food services","873,245","65,550","118,464","94,010","129,718","14,920"
"        Other services, except public administration","459,490","34,270","64,312","32,841","72,614","10,688"
"        Public administration","412,178","21,575","42,221","18,419","41,520","14,672"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,213,552","550,661","1,163,409","878,397","1,098,023","210,276"
"        Private wage and salary workers","7,233,415","440,742","929,077","741,434","879,795","157,034"
"        Government workers","1,423,447","81,891","159,588","70,969","149,787","43,280"
"        Self-employed in own not incorporated business workers","540,773","27,334","73,432","64,650","66,492","9,831"
"        Unpaid family workers","15,917","694","1,312","1,344","1,949","131"
"INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,219,356","481,143","925,489","726,357","784,243","167,629"
"        Less than $10,000","583,048","80,215","108,318","73,812","57,242","11,574"
"        $10,000 to $14,999","380,615","43,684","62,956","35,786","36,334","6,161"
"        $15,000 to $24,999","720,422","66,323","100,034","63,474","79,861","14,818"
"        $25,000 to $34,999","662,852","56,834","91,703","48,287","72,342","12,024"
"        $35,000 to $49,999","854,859","62,081","112,562","61,634","103,848","16,109"
"        $50,000 to $74,999","1,181,675","72,942","150,225","86,401","136,045","28,714"
"        $75,000 to $99,999","846,671","42,810","95,643","68,038","103,872","20,186"
