"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","15,945,017","1,115,777","2,050,989","1,418,001","1,869,987","384,432"
"        In labor force","10,026,845","667,160","1,301,499","948,976","1,202,910","224,850"
"            Civilian labor force","10,004,517","666,788","1,300,711","948,539","1,202,385","224,531"
"                Employed","9,504,716","599,204","1,237,382","901,880","1,139,938","215,330"
"                Unemployed","499,801","67,584","63,329","46,659","62,447","9,201"
"            Armed Forces","22,328","372","788","437","525","319"
"        Not in labor force","5,918,172","448,617","749,490","469,025","667,077","159,582"
"    Civilian labor force","10,004,517","666,788","1,300,711","948,539","1,202,385","224,531"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,294,760","603,526","1,099,562","753,382","974,706","200,535"
"        In labor force","4,862,276","334,748","652,965","475,928","569,699","106,250"
"            Civilian labor force","4,859,498","334,609","652,753","475,710","569,670","106,141"
"                Employed","4,630,808","301,007","625,109","451,837","538,668","102,481"
"    Own children of the householder under 6 years","1,289,787","114,216","210,675","82,436","155,921","30,954"
"        All parents in family in labor force","870,188","76,384","128,887","55,364","100,663","18,202"
"    Own children of the householder 6 to 17 years","2,567,358","216,250","351,368","140,989","275,286","68,872"
"        All parents in family in labor force","1,829,107","150,465","233,915","94,820","195,823","42,025"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,310,791","579,718","1,209,919","885,112","1,104,840","211,972"
"        Car, truck, or van -- drove alone","4,940,096","136,451","227,579","50,582","362,357","119,911"
"        Car, truck, or van -- carpooled","586,563","26,205","48,092","15,928","63,452","15,833"
"        Public transportation (excluding taxicab)","2,607,925","338,577","733,874","530,120","567,601","62,741"
"        Walked","555,976","44,380","104,196","171,150","58,284","5,166"
"        Other means","199,155","14,486","39,999","51,784","21,058","2,099"
"        Worked at home","421,076","19,619","56,179","65,548","32,088","6,222"
"        Mean travel time to work (minutes)","34.0","45.2","43.4","32.4","45.2","47.1"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,504,716","599,204","1,237,382","901,880","1,139,938","215,330"
"        Management, business, science, and arts occupations","3,959,407","150,043","541,186","547,631","395,323","85,322"
"        Service occupations","1,933,166","204,279","280,560","128,144","275,341","43,729"
"        Sales and office occupations","1,984,656","130,477","236,177","166,062","231,678","47,508"
"        Natural resources, construction, and maintenance occupations","662,320","37,316","69,927","19,313","98,105","18,420"
"        Production, transportation, and material moving occupations","965,167","77,089","109,532","40,730","139,491","20,351"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,504,716","599,204","1,237,382","901,880","1,139,938","215,330"
"        Agriculture, forestry, fishing and hunting, and mining","50,480","953","944","1,113","351","131"
"        Construction","545,896","28,897","63,542","19,069","90,264","18,462"
"        Manufacturing","551,379","20,031","38,512","22,918","35,921","5,804"
"        Wholesale trade","205,014","9,801","26,520","17,066","21,326","4,540"
"        Retail trade","941,072","67,166","107,402","58,324","106,909","20,135"
"        Transportation and warehousing, and utilities","555,380","51,115","86,067","25,591","108,870","16,132"
"        Information","266,579","8,023","54,744","54,767","27,021","5,074"
"        Finance and insurance, and real estate and rental and leasing","757,363","37,250","90,441","145,209","88,089","20,311"
"        Professional, scientific, and management, and administrative and waste management services","1,166,509","55,281","183,131","195,150","131,963","25,022"
"        Educational services, and health care and social assistance","2,647,464","194,273","346,975","209,196","275,695","63,440"
"        Arts, entertainment, and recreation, and accommodation and food services","905,696","70,925","125,747","93,400","133,458","14,825"
"        Other services, except public administration","467,645","32,057","65,353","39,568","71,553","8,111"
"        Public administration","444,239","23,432","48,004","20,509","48,518","13,343"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,504,716","599,204","1,237,382","901,880","1,139,938","215,330"
"        Private wage and salary workers","7,489,515","483,700","981,680","761,265","904,549","159,165"
"        Government workers","1,456,881","82,791","170,910","75,995","157,494","46,253"
"        Self-employed in own not incorporated business workers","543,987","32,318","83,707","63,061","76,803","9,760"
"        Unpaid family workers","14,333","395","1,085","1,559","1,092","152"
"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,367,015","507,370","969,317","752,258","788,110","167,441"
"        Less than $10,000","503,909","76,862","88,792","63,965","43,159","11,541"
"        $10,000 to $14,999","357,629","44,578","58,010","37,382","31,741","6,933"
"        $15,000 to $24,999","636,681","64,122","92,492","59,146","64,251","10,815"
"        $25,000 to $34,999","571,095","52,030","76,802","38,977","65,150","9,517"
"        $35,000 to $49,999","773,212","63,280","99,621","57,562","86,634","14,030"
"        $50,000 to $74,999","1,122,481","78,932","135,502","85,761","132,482","22,603"
"        $75,000 to $99,999","879,308","49,680","108,389","72,674","102,014","20,925"
