"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","16,066,508","1,126,603","2,087,398","1,426,666","1,910,721","382,448"
"        In labor force","10,151,319","672,903","1,330,964","968,202","1,230,643","220,618"
"            Civilian labor force","10,128,222","672,639","1,330,353","968,038","1,230,171","220,362"
"                Employed","9,473,337","600,417","1,228,592","908,640","1,146,156","208,536"
"                Unemployed","654,885","72,222","101,761","59,398","84,015","11,826"
"            Armed Forces","23,097","264","611","164","472","256"
"        Not in labor force","5,915,189","453,700","756,434","458,464","680,078","161,830"
"    Civilian labor force","10,128,222","672,639","1,330,353","968,038","1,230,171","220,362"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,361,801","607,384","1,116,383","759,317","993,326","199,961"
"        In labor force","4,899,856","338,252","665,202","478,192","574,463","105,087"
"            Civilian labor force","4,896,689","338,154","665,007","478,160","574,280","105,011"
"                Employed","4,598,342","302,739","617,625","447,833","535,604","100,206"
"    Own children of the householder under 6 years","1,352,563","122,224","224,335","94,219","165,656","32,668"
"        All parents in family in labor force","890,590","77,364","139,113","66,217","104,297","19,445"
"    Own children of the householder 6 to 17 years","2,666,314","224,846","361,861","135,622","292,513","69,583"
"        All parents in family in labor force","1,849,967","150,961","238,712","96,850","195,424","44,009"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,276,438","582,685","1,198,667","889,968","1,116,313","204,979"
"        Car, truck, or van -- drove alone","4,890,301","127,507","219,621","51,226","357,394","115,493"
"        Car, truck, or van -- carpooled","611,083","26,700","47,810","15,537","71,978","14,909"
"        Public transportation (excluding taxicab)","2,650,013","358,615","742,828","529,276","581,750","62,832"
"        Walked","583,151","44,185","107,666","182,443","64,124","4,793"
"        Other means","174,245","7,846","32,133","49,910","15,383","2,156"
"        Worked at home","367,645","17,832","48,609","61,576","25,684","4,796"
"    Mean travel time to work (minutes)","33.1","44.8","42.2","31.8","43.7","43.5"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,473,337","600,417","1,228,592","908,640","1,146,156","208,536"
"        Management, business, science, and arts occupations","3,781,185","152,749","501,757","542,372","382,679","84,647"
"        Service occupations","1,910,941","199,382","287,771","126,795","282,327","37,059"
"        Sales and office occupations","2,207,637","141,159","258,271","179,650","264,160","51,786"
"        Natural resources, construction, and maintenance occupations","687,539","45,668","75,708","19,838","92,039","19,880"
"        Production, transportation, and material moving occupations","886,035","61,459","105,085","39,985","124,951","15,164"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,473,337","600,417","1,228,592","908,640","1,146,156","208,536"
"        Agriculture, forestry, fishing and hunting, and mining","52,298","800","1,665","264","2,113","272"
"        Construction","535,021","32,342","60,646","16,914","79,954","16,477"
"        Manufacturing","577,352","22,465","41,357","24,286","46,191","5,045"
"        Wholesale trade","235,404","10,284","26,235","22,903","29,724","2,752"
"        Retail trade","1,001,975","68,411","115,564","66,541","113,870","21,271"
"        Transportation and warehousing, and utilities","515,243","42,170","79,832","28,000","95,157","13,783"
"        Information","280,858","10,334","52,283","57,900","28,220","5,376"
"        Finance and insurance, and real estate and rental and leasing","744,778","38,327","90,148","144,017","87,074","21,075"
"        Professional, scientific, and management, and administrative and waste management services","1,104,596","52,915","163,981","174,978","131,443","24,664"
"        Educational services, and health care and social assistance","2,599,743","194,118","352,328","205,883","272,870","61,620"
"        Arts, entertainment, and recreation, and accommodation and food services","933,041","74,131","128,767","107,231","137,568","14,626"
"        Other services, except public administration","473,357","35,414","69,733","37,054","74,406","7,833"
"        Public administration","419,671","18,706","46,053","22,669","47,566","13,742"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,473,337","600,417","1,228,592","908,640","1,146,156","208,536"
"        Private wage and salary workers","7,482,005","487,923","972,774","755,021","919,924","154,696"
"        Government workers","1,422,133","82,187","173,138","77,352","151,022","45,320"
"        Self-employed in own not incorporated business workers","556,615","29,159","81,557","75,247","73,997","8,384"
"        Unpaid family workers","12,584","1,148","1,123","1,020","1,213","136"
"INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,233,694","495,513","940,176","751,244","774,752","167,462"
"        Less than $10,000","563,955","81,612","101,679","66,746","51,225","15,945"
"        $10,000 to $14,999","359,771","43,148","59,907","41,660","31,129","6,287"
"        $15,000 to $24,999","686,141","68,128","101,480","59,675","73,549","12,584"
"        $25,000 to $34,999","622,207","53,951","90,030","47,244","70,773","10,192"
"        $35,000 to $49,999","826,286","65,388","105,797","60,190","97,807","16,422"
"        $50,000 to $74,999","1,178,198","76,982","145,607","97,594","141,571","25,968"
"        $75,000 to $99,999","852,850","41,273","99,181","69,411","98,830","20,593"
