"Label (Grouping)","New York!!Estimate","New York!!Percent","Bronx County, New York!!Estimate","Bronx County, New York!!Percent","Kings County, New York!!Estimate","Kings County, New York!!Percent","New York County, New York!!Estimate","New York County, New York!!Percent","Queens County, New York!!Estimate","Queens County, New York!!Percent","Richmond County, New York!!Estimate","Richmond County, New York!!Percent"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","16,210,453","16,210,453","1,114,497","1,114,497","2,102,166","2,102,166","1,368,422","1,368,422","1,917,787","1,917,787","399,911","399,911"
"        In labor force","10,138,385","62.5%","647,816","58.1%","1,340,454","63.8%","902,598","66.0%","1,186,973","61.9%","233,558","58.4%"
"            Civilian labor force","10,110,281","62.4%","647,271","58.1%","1,339,108","63.7%","902,489","66.0%","1,185,851","61.8%","233,030","58.3%"
"                Employed","9,226,373","56.9%","543,192","48.7%","1,189,436","56.6%","806,897","59.0%","1,045,932","54.5%","215,477","53.9%"
"                Unemployed","883,908","5.5%","104,079","9.3%","149,672","7.1%","95,592","7.0%","139,919","7.3%","17,553","4.4%"
"            Armed Forces","28,104","0.2%","545","0.0%","1,346","0.1%","109","0.0%","1,122","0.1%","528","0.1%"
"        Not in labor force","6,072,068","37.5%","466,681","41.9%","761,712","36.2%","465,824","34.0%","730,814","38.1%","166,353","41.6%"
"    Civilian labor force","10,110,281","10,110,281","647,271","647,271","1,339,108","1,339,108","902,489","902,489","1,185,851","1,185,851","233,030","233,030"
"        Unemployment Rate","(X)","8.7%","(X)","16.1%","(X)","11.2%","(X)","10.6%","(X)","11.8%","(X)","7.5%"
"    Females 16 years and over","8,371,450","8,371,450","597,353","597,353","1,120,858","1,120,858","722,758","722,758","988,797","988,797","206,611","206,611"
"        In labor force","4,936,289","59.0%","329,459","55.2%","679,997","60.7%","451,452","62.5%","563,695","57.0%","110,522","53.5%"
"            Civilian labor force","4,932,734","58.9%","329,195","55.1%","679,631","60.6%","451,343","62.4%","563,550","57.0%","110,522","53.5%"
"                Employed","4,527,400","54.1%","276,530","46.3%","611,387","54.5%","409,950","56.7%","495,388","50.1%","103,258","50.0%"
"    Own children of the householder under 6 years","1,239,638","1,239,638","103,001","103,001","196,580","196,580","78,827","78,827","149,905","149,905","31,398","31,398"
"        All parents in family in labor force","844,067","68.1%","64,724","62.8%","132,530","67.4%","55,219","70.1%","96,476","64.4%","19,416","61.8%"
"    Own children of the householder 6 to 17 years","2,654,127","2,654,127","224,316","224,316","376,720","376,720","139,607","139,607","287,967","287,967","73,200","73,200"
"        All parents in family in labor force","1,889,820","71.2%","156,026","69.6%","263,996","70.1%","95,812","68.6%","195,464","67.9%","43,725","59.7%"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","9,017,848","9,017,848","521,936","521,936","1,154,268","1,154,268","793,149","793,149","1,015,607","1,015,607","210,054","210,054"
"        Car, truck, or van -- drove alone","4,439,902","49.2%","122,589","23.5%","205,256","17.8%","44,563","5.6%","324,279","31.9%","106,665","50.8%"
"        Car, truck, or van -- carpooled","534,398","5.9%","21,775","4.2%","43,531","3.8%","10,888","1.4%","65,277","6.4%","19,702","9.4%"
"        Public transportation (excluding taxicab)","1,556,380","17.3%","256,322","49.1%","429,066","37.2%","273,406","34.5%","355,826","35.0%","39,533","18.8%"
"        Walked","477,303","5.3%","38,567","7.4%","97,910","8.5%","130,400","16.4%","61,057","6.0%","5,275","2.5%"
"        Other means","238,588","2.6%","20,257","3.9%","53,143","4.6%","44,693","5.6%","29,883","2.9%","3,798","1.8%"
"        Worked from home","1,771,277","19.6%","62,426","12.0%","325,362","28.2%","289,199","36.5%","179,285","17.7%","35,081","16.7%"
"        Mean travel time to work (minutes)","31.4","(X)","43.3","(X)","41.4","(X)","31.7","(X)","41.0","(X)","41.1","(X)"
"OCCUPATION","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,226,373","9,226,373","543,192","543,192","1,189,436","1,189,436","806,897","806,897","1,045,932","1,045,932","215,477","215,477"
"        Management, business, science, and arts occupations","4,265,380","46.2%","163,956","30.2%","577,184","48.5%","515,510","63.9%","424,691","40.6%","98,543","45.7%"
"        Service occupations","1,666,875","18.1%","171,579","31.6%","246,601","20.7%","102,753","12.7%","221,377","21.2%","38,502","17.9%"
"        Sales and office occupations","1,796,908","19.5%","107,266","19.7%","216,987","18.2%","140,020","17.4%","200,327","19.2%","41,503","19.3%"
"        Natural resources, construction, and maintenance occupations","620,059","6.7%","36,106","6.6%","57,925","4.9%","13,557","1.7%","85,959","8.2%","15,556","7.2%"
"        Production, transportation, and material moving occupations","877,151","9.5%","64,285","11.8%","90,739","7.6%","35,057","4.3%","113,578","10.9%","21,373","9.9%"
"INDUSTRY","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,226,373","9,226,373","543,192","543,192","1,189,436","1,189,436","806,897","806,897","1,045,932","1,045,932","215,477","215,477"
"        Agriculture, forestry, fishing and hunting, and mining","52,793","0.6%","1,214","0.2%","630","0.1%","894","0.1%","636","0.1%","221","0.1%"
"        Construction","528,699","5.7%","32,127","5.9%","53,148","4.5%","14,301","1.8%","80,121","7.7%","14,119","6.6%"
"        Manufacturing","538,530","5.8%","16,504","3.0%","33,765","2.8%","22,479","2.8%","35,039","3.4%","6,152","2.9%"
"        Wholesale trade","186,741","2.0%","7,546","1.4%","20,948","1.8%","15,210","1.9%","19,490","1.9%","2,686","1.2%"
"        Retail trade","905,505","9.8%","50,584","9.3%","104,881","8.8%","60,990","7.6%","97,804","9.4%","19,055","8.8%"
"        Transportation and warehousing, and utilities","511,124","5.5%","42,273","7.8%","72,653","6.1%","28,075","3.5%","84,981","8.1%","17,042","7.9%"
"        Information","257,893","2.8%","8,674","1.6%","62,028","5.2%","42,882","5.3%","27,095","2.6%","6,262","2.9%"
"        Finance and insurance, and real estate and rental and leasing","752,336","8.2%","34,037","6.3%","92,596","7.8%","125,714","15.6%","79,741","7.6%","17,168","8.0%"
"        Professional, scientific, and management, and administrative and waste management services","1,204,536","13.1%","54,172","10.0%","189,046","15.9%","171,160","21.2%","135,769","13.0%","27,758","12.9%"
"        Educational services, and health care and social assistance","2,741,806","29.7%","196,588","36.2%","362,054","30.4%","206,293","25.6%","292,970","28.0%","68,894","32.0%"
"        Arts, entertainment, and recreation, and accommodation and food services","684,714","7.4%","46,758","8.6%","90,466","7.6%","63,007","7.8%","86,245","8.2%","14,163","6.6%"
"        Other services, except public administration","415,047","4.5%","29,901","5.5%","58,017","4.9%","30,152","3.7%","58,419","5.6%","8,904","4.1%"
