"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","16,178,211","1,147,618","2,102,940","1,448,507","1,933,721","387,287"
"        In labor force","10,218,721","691,520","1,337,902","977,109","1,241,175","229,408"
"            Civilian labor force","10,194,438","690,773","1,337,175","976,535","1,240,652","229,039"
"                Employed","9,634,437","615,251","1,251,227","924,218","1,176,370","219,133"
"                Unemployed","560,001","75,522","85,948","52,317","64,282","9,906"
"            Armed Forces","24,283","747","727","574","523","369"
"        Not in labor force","5,959,490","456,098","765,038","471,398","692,546","157,879"
"    Civilian labor force","10,194,438","690,773","1,337,175","976,535","1,240,652","229,039"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,417,921","618,521","1,127,569","768,643","1,007,397","202,514"
"        In labor force","4,936,442","348,031","670,256","479,664","578,238","107,674"
"            Civilian labor force","4,934,505","348,031","670,150","479,400","578,202","107,674"
"                Employed","4,683,867","313,730","631,693","457,196","548,259","103,045"
"    Own children of the householder under 6 years","1,321,414","116,555","216,529","89,296","162,325","30,658"
"        All parents in family in labor force","877,598","78,590","135,467","56,753","102,042","16,678"
"    Own children of the householder 6 to 17 years","2,626,019","226,460","362,406","137,723","288,098","70,279"
"        All parents in family in labor force","1,847,245","153,975","239,545","93,950","195,437","45,692"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","9,427,680","593,642","1,221,412","906,005","1,135,110","216,592"
"        Car, truck, or van -- drove alone","5,007,277","141,947","227,254","58,596","362,638","119,341"
"        Car, truck, or van -- carpooled","589,896","24,871","50,012","19,747","71,624","19,899"
"        Public transportation (excluding taxicab)","2,644,978","355,222","745,609","532,104","576,474","62,619"
"        Walked","584,649","43,163","105,572","182,130","73,687","6,836"
"        Other means","190,867","11,735","37,325","50,202","18,031","2,819"
"        Worked at home","410,013","16,704","55,640","63,226","32,656","5,078"
"    Mean travel time to work (minutes)","33.7","46.2","43.2","32.5","44.4","45.8"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,634,437","615,251","1,251,227","924,218","1,176,370","219,133"
"        Management, business, science, and arts occupations","3,942,015","151,165","537,392","549,012","393,850","92,629"
"        Service occupations","1,944,821","211,571","277,056","131,843","294,007","41,066"
"        Sales and office occupations","2,165,287","147,430","259,066","179,602","260,357","46,950"
"        Natural resources, construction, and maintenance occupations","695,144","39,445","73,966","24,364","101,469","18,322"
"        Production, transportation, and material moving occupations","887,170","65,640","103,747","39,397","126,687","20,166"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,634,437","615,251","1,251,227","924,218","1,176,370","219,133"
"        Agriculture, forestry, fishing and hunting, and mining","52,520","592","1,491","386","1,344","101"
"        Construction","551,537","29,350","62,215","19,586","90,600","15,542"
"        Manufacturing","584,904","18,474","39,714","30,097","42,260","5,023"
"        Wholesale trade","221,498","10,641","27,662","16,662","26,287","3,562"
"        Retail trade","989,478","68,924","117,146","69,309","115,786","19,479"
"        Transportation and warehousing, and utilities","527,257","47,542","85,326","23,338","102,484","17,662"
"        Information","273,633","9,582","59,995","58,467","28,613","4,540"
"        Finance and insurance, and real estate and rental and leasing","770,444","40,431","97,192","142,579","88,240","20,317"
"        Professional, scientific, and management, and administrative and waste management services","1,163,020","56,251","175,962","187,853","133,054","24,351"
"        Educational services, and health care and social assistance","2,668,285","203,825","348,343","214,999","284,560","68,071"
"        Arts, entertainment, and recreation, and accommodation and food services","912,225","70,618","121,808","93,725","137,089","16,628"
"        Other services, except public administration","487,740","35,293","66,521","44,099","77,513","10,149"
"        Public administration","431,896","23,728","47,852","23,118","48,540","13,708"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,634,437","615,251","1,251,227","924,218","1,176,370","219,133"
"        Private wage and salary workers","7,591,593","489,443","987,623","772,775","947,406","166,423"
"        Government workers","1,459,845","89,062","175,677","74,373","158,174","44,841"
"        Self-employed in own not incorporated business workers","570,592","36,003","86,267","75,561","69,909","7,699"
"        Unpaid family workers","12,407","743","1,660","1,509","881","170"
"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,304,332","503,985","956,223","764,218","769,258","165,990"
"        Less than $10,000","539,861","73,579","109,245","68,870","45,036","13,296"
"        $10,000 to $14,999","344,117","43,891","54,596","41,279","29,262","7,281"
"        $15,000 to $24,999","643,441","67,541","88,384","57,276","67,625","11,423"
"        $25,000 to $34,999","583,073","53,017","76,433","43,784","63,605","10,072"
"        $35,000 to $49,999","803,360","65,518","105,702","51,323","92,088","14,665"
"        $50,000 to $74,999","1,149,213","79,812","134,416","88,978","136,544","23,250"
"        $75,000 to $99,999","865,908","46,820","105,769","71,632","101,570","18,794"
