"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","15,822,629","1,083,121","2,027,847","1,402,674","1,859,445","376,193"
"    In labor force","10,052,158","641,682","1,274,967","951,627","1,202,404","224,605"
"        Civilian labor force","10,027,117","641,300","1,274,258","951,013","1,201,695","224,303"
"            Employed","9,099,766","541,891","1,132,538","867,170","1,086,224","208,219"
"            Unemployed","927,351","99,409","141,720","83,843","115,471","16,084"
"        Armed Forces","25,041","382","709","614","709","302"
"    Not in labor force","5,770,471","441,439","752,880","451,047","657,041","151,588"
"    Civilian labor force","10,027,117","641,300","1,274,258","951,013","1,201,695","224,303"
"    Percent Unemployed","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,254,656","587,604","1,087,112","748,127","969,166","197,684"
"    In labor force","4,857,846","325,456","634,751","476,166","559,041","106,623"
"        Civilian labor force","4,854,914","325,262","634,751","475,966","558,909","106,546"
"            Employed","4,424,967","274,201","568,395","435,739","503,474","98,527"
"    Own children under 6 years","1,344,060","121,623","214,445","92,735","159,749","33,803"
"    All parents in family in labor force","867,732","78,071","127,551","60,449","95,354","18,909"
"    Own children 6 to 17 years","2,738,430","229,293","361,114","136,886","287,536","69,822"
"    All parents in family in labor force","1,917,711","159,493","231,257","93,448","191,977","44,463"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","8,916,499","526,809","1,108,492","849,332","1,059,032","205,406"
"    Car, truck, or van -- drove alone","4,785,225","118,963","216,403","56,971","337,644","116,789"
"    Car, truck, or van -- carpooled","612,325","28,352","47,323","16,666","65,693","17,333"
"    Public transportation (excluding taxicab)","2,429,897","315,692","673,543","498,201","548,787","60,148"
"    Walked","568,540","40,280","98,963","170,210","62,981","5,752"
"    Other means","170,979","7,299","28,725","43,913","18,742","1,330"
"    Worked at home","349,533","16,223","43,535","63,371","25,185","4,054"
"    Mean travel time to work (minutes)","31.8","42.8","41.0","31.0","41.6","41.3"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","9,099,766","541,891","1,132,538","867,170","1,086,224","208,219"
"    Management, business, science, and arts occupations","3,507,248","129,147","419,621","512,813","345,523","77,406"
"    Service occupations","1,847,696","176,491","278,992","116,131","270,040","40,548"
"    Sales and office occupations","2,198,203","134,742","263,712","183,596","260,841","53,025"
"    Natural resources, construction, and maintenance occupations","662,736","37,400","72,238","15,922","88,048","19,354"
"    Production, transportation, and material moving occupations","883,883","64,111","97,975","38,708","121,772","17,886"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","9,099,766","541,891","1,132,538","867,170","1,086,224","208,219"
"    Agriculture, forestry, fishing and hunting, and mining","51,554","884","939","411","2,620","0"
"    Construction","511,823","26,668","59,027","13,869","70,809","14,860"
"    Manufacturing","614,140","20,565","47,285","28,807","48,237","7,392"
"    Wholesale trade","223,605","9,954","24,365","19,171","28,757","3,524"
"    Retail trade","1,014,676","67,632","115,316","76,275","113,422","23,584"
"    Transportation and warehousing, and utilities","453,119","37,151","65,861","19,997","86,280","12,750"
"    Information","256,407","11,221","43,808","56,260","25,624","4,800"
"    Finance and insurance, and real estate and rental and leasing","726,950","39,261","87,793","136,897","88,764","18,658"
"    Professional, scientific, and management, and administrative and waste management services","1,021,447","46,428","136,637","168,664","116,625","21,537"
"    Educational services, and health care and social assistance","2,486,435","170,788","328,087","198,404","256,520","61,266"
"    Arts, entertainment, and recreation, and accommodation and food services","854,118","62,541","113,756","89,289","127,664","14,737"
"    Other services, except public administration","458,288","29,764","62,502","34,525","74,766","10,194"
"    Public administration","427,204","19,034","47,162","24,601","46,136","14,917"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","9,099,766","541,891","1,132,538","867,170","1,086,224","208,219"
"    Private wage and salary workers","7,106,578","430,536","888,575","721,827","865,489","154,694"
"    Government workers","1,435,487","81,901","169,702","71,715","146,993","45,470"
"    Self-employed in own not incorporated business workers","546,048","28,940","73,688","72,459","72,087","7,896"
"    Unpaid family workers","11,653","514","573","1,169","1,655","159"
"INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,238,922","475,978","919,333","746,686","780,349","163,468"
"    Less than $10,000","601,351","83,168","111,030","76,718","60,763","12,075"
"    $10,000 to $14,999","387,742","44,010","66,684","41,003","34,576","7,136"
"    $15,000 to $24,999","744,859","68,572","108,208","63,814","86,869","12,257"
"    $25,000 to $34,999","646,500","54,035","87,343","50,237","74,529","10,973"
"    $35,000 to $49,999","866,337","64,530","116,060","64,108","99,533","16,205"
"    $50,000 to $74,999","1,232,513","66,623","153,370","105,684","144,381","27,656"
"    $75,000 to $99,999","857,092","41,900","93,370","72,564","99,172","24,493"
